,layer,module_name,module_type,example_idx,example_str,node_idx,token_idx,token_str,value,grad,indirect_effect,node_type
0,0,blocks.0.hook_resid_pre,resid,0,Hello world,663,0,<|endoftext|>,1.609596848487854,0.04830825328826904,0.03383249789476395,feature
1,0,blocks.0.hook_resid_pre,resid,0,Hello world,14525,0,<|endoftext|>,1.4777427911758423,-0.009734220802783966,0.031066935509443283,feature
2,0,blocks.0.hook_resid_pre,resid,0,Hello world,15967,0,<|endoftext|>,1.5610439777374268,0.06694403290748596,0.032813504338264465,feature
3,0,blocks.0.hook_resid_pre,resid,0,Hello world,16436,0,<|endoftext|>,1.6295467615127563,0.04479655623435974,0.03425069898366928,feature
4,0,blocks.0.hook_resid_pre,resid,0,Hello world,19038,0,<|endoftext|>,1.564480185508728,0.03356095403432846,0.03288837894797325,feature
5,0,blocks.0.hook_resid_pre,resid,0,Hello world,24007,0,<|endoftext|>,1.662737250328064,0.04245750606060028,0.0349450558423996,feature
6,0,blocks.0.hook_resid_pre,resid,0,Hello world,24576,0,<|endoftext|>,0.0003688633441925049,-0.07514438778162003,2.6985055228578858e-05,error
7,0,blocks.0.hook_resid_pre,resid,0,Hello world,24577,0,<|endoftext|>,-0.0009510517120361328,-0.0554821640253067,1.837351555877831e-05,error
8,0,blocks.0.hook_resid_pre,resid,0,Hello world,24578,0,<|endoftext|>,0.0015796013176441193,0.044629938900470734,7.743768219370395e-05,error
9,0,blocks.0.hook_resid_pre,resid,0,Hello world,24579,0,<|endoftext|>,-0.0010114740580320358,0.1871628612279892,0.00010306783951818943,error
10,0,blocks.0.hook_resid_pre,resid,0,Hello world,24580,0,<|endoftext|>,-0.00032683461904525757,-0.024959968402981758,1.8362801711191423e-05,error
11,0,blocks.0.hook_resid_pre,resid,0,Hello world,24581,0,<|endoftext|>,0.0006017982959747314,-0.07758047431707382,7.562534847238567e-06,error
12,0,blocks.0.hook_resid_pre,resid,0,Hello world,24582,0,<|endoftext|>,-0.0007690340280532837,0.039513956755399704,-2.3494612833019346e-05,error
13,0,blocks.0.hook_resid_pre,resid,0,Hello world,24583,0,<|endoftext|>,-0.000395163893699646,0.05687122419476509,2.372670877548444e-07,error
14,0,blocks.0.hook_resid_pre,resid,0,Hello world,24584,0,<|endoftext|>,-0.0013713017106056213,-0.08384273946285248,-5.144041278981604e-05,error
