,d_layer,d_module_type,d_module_name,d_example_idx,d_token_idx,d_act_idx,u_layer,u_module_type,u_module_name,u_example_idx,u_token_idx,u_act_idx,ie,abs_ie,edge_abs_ie
0,11,resid,blocks.11.hook_resid_pre,0,4,10734,10,resid,blocks.10.hook_resid_pre,0,2,2165,-0.0003322212432976812,0.0003322212432976812,0.0003322212432976812
1,11,resid,blocks.11.hook_resid_pre,0,4,10734,10,resid,blocks.10.hook_resid_pre,0,4,3621,0.002579718828201294,0.002579718828201294,0.002579718828201294
2,11,resid,blocks.11.hook_resid_pre,0,4,10734,10,resid,blocks.10.hook_resid_pre,0,4,7735,-0.0004603033303283155,0.0004603033303283155,0.0004603033303283155
3,11,resid,blocks.11.hook_resid_pre,0,4,10734,10,resid,blocks.10.hook_resid_pre,0,4,19738,-0.0005402910173870623,0.0005402910173870623,0.0005402910173870623
4,11,resid,blocks.11.hook_resid_pre,0,4,10734,10,resid,blocks.10.hook_resid_pre,0,4,22408,-0.0004302984743844718,0.0004302984743844718,0.0004302984743844718
5,11,resid,blocks.11.hook_resid_pre,0,4,10734,10,resid,blocks.10.hook_resid_pre,0,4,22633,-0.0004528755380306393,0.0004528755380306393,0.0004528755380306393
6,11,resid,blocks.11.hook_resid_pre,0,4,10734,10,resid,blocks.10.hook_resid_pre,0,4,24094,-0.00042128495988436043,0.00042128495988436043,0.00042128495988436043
7,11,resid,blocks.11.hook_resid_pre,0,4,10734,10,resid,blocks.10.hook_resid_pre,0,4,24969,0.0003443534660618752,0.0003443534660618752,0.0003443534660618752
8,11,resid,blocks.11.hook_resid_pre,0,4,22069,10,resid,blocks.10.hook_resid_pre,0,2,2165,6.166371895233169e-05,6.166371895233169e-05,6.166371895233169e-05
9,11,resid,blocks.11.hook_resid_pre,0,4,22069,10,resid,blocks.10.hook_resid_pre,0,4,3621,-0.00047882265062071383,0.00047882265062071383,0.00047882265062071383
